,period,location,player,pass,x_start,y_start,x_end,y_end,id,recipient_name,0,recipient,length,angle,height,end_location,type,body_part,outcome,aerial_won,deflected,outswinging,technique,switch,cross,assisted_shot_id,goal_assist,through_ball,inswinging,shot_assist,no_touch,miscommunication,cut_back
166,1,"[14.1, 65.0]",Kyle Walker,"{'length': 36.796196, 'angle': 0.41987994, 'height': {'id': 3, 'name': 'High Pass'}, 'end_location': [47.7, 80.0], 'outcome': {'id': 75, 'name': 'Out'}, 'body_part': {'id': 40, 'name': 'Right Foot'}}",14.1,65.0,47.7,80.0,,,,,36.796196,0.41987994,"{'id': 3, 'name': 'High Pass'}","[47.7, 80.0]",,"{'id': 40, 'name': 'Right Foot'}","{'id': 75, 'name': 'Out'}",,,,,,,,,,,,,,
167,1,"[77.4, 0.1]",Emerson Palmieri dos Santos,"{'recipient': {'id': 7037, 'name': 'Lorenzo Insigne'}, 'length': 6.0207973, 'angle': 1.0104364, 'height': {'id': 2, 'name': 'Low Pass'}, 'end_location': [80.6, 5.2], 'type': {'id': 67, 'name': 'Throw-in'}}",77.4,0.1,80.6,5.2,7037.0,Lorenzo Insigne,,"{'id': 7037, 'name': 'Lorenzo Insigne'}",6.0207973,1.0104364,"{'id': 2, 'name': 'Low Pass'}","[80.6, 5.2]","{'id': 67, 'name': 'Throw-in'}",,,,,,,,,,,,,,,,
168,1,"[80.2, 5.4]",Lorenzo Insigne,"{'recipient': {'id': 4355, 'name': 'Emerson Palmieri dos Santos'}, 'length': 4.7, 'angle': -1.5707964, 'height': {'id': 1, 'name': 'Ground Pass'}, 'end_location': [80.2, 0.7], 'body_part': {'id': 40, 'name': 'Right Foot'}}",80.2,5.4,80.2,0.7,4355.0,Emerson Palmieri dos Santos,,"{'id': 4355, 'name': 'Emerson Palmieri dos Santos'}",4.7,-1.5707964,"{'id': 1, 'name': 'Ground Pass'}","[80.2, 0.7]",,"{'id': 40, 'name': 'Right Foot'}",,,,,,,,,,,,,,,
169,1,"[80.2, 0.7]",Emerson Palmieri dos Santos,"{'recipient': {'id': 3166, 'name': 'Marco Verratti'}, 'length': 6.1073728, 'angle': 3.0924518, 'height': {'id': 1, 'name': 'Ground Pass'}, 'end_location': [74.1, 1.0], 'body_part': {'id': 38, 'name': 'Left Foot'}}",80.2,0.7,74.1,1.0,3166.0,Marco Verratti,,"{'id': 3166, 'name': 'Marco Verratti'}",6.1073728,3.0924518,"{'id': 1, 'name': 'Ground Pass'}","[74.1, 1.0]",,"{'id': 38, 'name': 'Left Foot'}",,,,,,,,,,,,,,,
170,1,"[72.8, 2.4]",Marco Verratti,"{'recipient': {'id': 7173, 'name': 'Leonardo Bonucci'}, 'length': 34.444447, 'angle': 2.0903025, 'height': {'id': 1, 'name': 'Ground Pass'}, 'end_location': [55.7, 32.3], 'body_part': {'id': 40, 'name': 'Right Foot'}}",72.8,2.4,55.7,32.3,7173.0,Leonardo Bonucci,,"{'id': 7173, 'name': 'Leonardo Bonucci'}",34.444447,2.0903025,"{'id': 1, 'name': 'Ground Pass'}","[55.7, 32.3]",,"{'id': 40, 'name': 'Right Foot'}",,,,,,,,,,,,,,,
171,1,"[81.4, 36.7]",Leonardo Bonucci,"{'recipient': {'id': 3166, 'name': 'Marco Verratti'}, 'length': 17.962183, 'angle': -1.2420037, 'height': {'id': 1, 'name': 'Ground Pass'}, 'end_location': [87.2, 19.7], 'outcome': {'id': 9, 'name': 'Incomplete'}, 'body_part': {'id': 40, 'name': 'Right Foot'}}",81.4,36.7,87.2,19.7,3166.0,Marco Verratti,,"{'id': 3166, 'name': 'Marco Verratti'}",17.962183,-1.2420037,"{'id': 1, 'name': 'Ground Pass'}","[87.2, 19.7]",,"{'id': 40, 'name': 'Right Foot'}","{'id': 9, 'name': 'Incomplete'}",,,,,,,,,,,,,,
172,1,"[35.2, 42.9]",Raheem Sterling,"{'recipient': {'id': 3943, 'name': 'Declan Rice'}, 'length': 17.739504, 'angle': -1.1651644, 'height': {'id': 1, 'name': 'Ground Pass'}, 'end_location': [42.2, 26.6], 'body_part': {'id': 38, 'name': 'Left Foot'}}",35.2,42.9,42.2,26.6,3943.0,Declan Rice,,"{'id': 3943, 'name': 'Declan Rice'}",17.739504,-1.1651644,"{'id': 1, 'name': 'Ground Pass'}","[42.2, 26.6]",,"{'id': 38, 'name': 'Left Foot'}",,,,,,,,,,,,,,,
173,1,"[40.4, 25.9]",Declan Rice,"{'recipient': {'id': 7843, 'name': 'Mason Mount'}, 'length': 18.101105, 'angle': -0.9383445, 'height': {'id': 1, 'name': 'Ground Pass'}, 'end_location': [51.1, 11.3], 'body_part': {'id': 40, 'name': 'Right Foot'}}",40.4,25.9,51.1,11.3,7843.0,Mason Mount,,"{'id': 7843, 'name': 'Mason Mount'}",18.101105,-0.9383445,"{'id': 1, 'name': 'Ground Pass'}","[51.1, 11.3]",,"{'id': 40, 'name': 'Right Foot'}",,,,,,,,,,,,,,,
174,1,"[55.1, 6.5]",Mason Mount,"{'recipient': {'id': 3382, 'name': 'Luke Shaw'}, 'length': 15.388308, 'angle': 2.9849908, 'height': {'id': 1, 'name': 'Ground Pass'}, 'end_location': [39.9, 8.9], 'body_part': {'id': 38, 'name': 'Left Foot'}}",55.1,6.5,39.9,8.9,3382.0,Luke Shaw,,"{'id': 3382, 'name': 'Luke Shaw'}",15.388308,2.9849908,"{'id': 1, 'name': 'Ground Pass'}","[39.9, 8.9]",,"{'id': 38, 'name': 'Left Foot'}",,,,,,,,,,,,,,,
175,1,"[41.4, 5.9]",Luke Shaw,"{'recipient': {'id': 7843, 'name': 'Mason Mount'}, 'length': 12.80039, 'angle': 0.007812341, 'height': {'id': 2, 'name': 'Low Pass'}, 'end_location': [54.2, 6.0], 'outcome': {'id': 9, 'name': 'Incomplete'}, 'body_part': {'id': 38, 'name': 'Left Foot'}}",41.4,5.9,54.2,6.0,7843.0,Mason Mount,,"{'id': 7843, 'name': 'Mason Mount'}",12.80039,0.007812341,"{'id': 2, 'name': 'Low Pass'}","[54.2, 6.0]",,"{'id': 38, 'name': 'Left Foot'}","{'id': 9, 'name': 'Incomplete'}",,,,,,,,,,,,,,
